Name	Sex	Plant	carried	given	carries	Age
Yellow	0	PLEHA	0	8	0	0
Yellow	0	PRISCb	3	5	0.6	0
Yellow	0	PRISCg	1	6	0.166666667	0
Yellow	0	STYTA	2	13	0.153846154	0
Yellow	0	TETHA	1	13	0.076923077	0
Yellow	0	VACRE	1	13	0.076923077	0
Blue	1	CHETR	0	10	0	0
Blue	1	CLEHA	0	6	0	0
Blue	1	COPRH	2	18	0.111111111	0
Blue	1	ILEAN	1	19	0.052631579	0
Blue	1	MYOSA	0	18	0	0
Blue	1	MYRLA	2	3	0.666666667	0
Blue	1	PIPAL	0	18	0	0
Blue	1	PITHO	1	3	0.333333333	0
Blue	1	PLEHA	0	8	0	0
Blue	1	PRISCb	1	5	0.2	0
Blue	1	PRISCg	1	6	0.166666667	0
Blue	1	STYTA	0	13	0	0
Blue	1	TETHA	1	13	0.076923077	0
Blue	1	VACRE	1	13	0.076923077	0
Ahuahu	1	CHETR	0	13	0	0
Ahuahu	1	CLEHA	4	5	0.8	0
Ahuahu	1	COPRH	3	15	0.2	0
Ahuahu	1	ILEAN	0	19	0	0
Ahuahu	1	MYOSA	1	15	0.066666667	0
Ahuahu	1	PIPAL	2	18	0.111111111	0
Ahuahu	1	PITHO	0	3	0	0
Ahuahu	1	PLEHA	0	3	0	0
Ahuahu	1	PRISCb	0	2	0	0
Ahuahu	1	PRISCg	0	3	0	0
Ahuahu	1	STYTA	2	13	0.153846154	0
Ahuahu	1	TETHA	2	12	0.166666667	0
Ahuahu	1	VACRE	1	13	0.076923077	0
Aumoe	0	CHETR	2	16	0.125	0
Aumoe	0	CLEHA	1	6	0.166666667	0
Aumoe	0	COPRH	5	15	0.333333333	0
Aumoe	0	ILEAN	2	18	0.111111111	0
Aumoe	0	MYOSA	1	24	0.041666667	0
Aumoe	0	MYRLA	0	3	0	0
Aumoe	0	PIPAL	1	18	0.055555556	0
Aumoe	0	PITHO	1	25	0.04	0
Aumoe	0	PLEHA	2	12	0.166666667	0
Aumoe	0	PRISCb	1	5	0.2	0
Aumoe	0	PRISCg	2	9	0.222222222	0
Aumoe	0	STYTA	2	27	0.074074074	0
Aumoe	0	TETHA	7	25	0.28	0
Aumoe	0	VACRE	3	19	0.157894737	0
Pomahina	0	CHETR	5	16	0.3125	0
Pomahina	0	CLEHA	1	6	0.166666667	0
Pomahina	0	COPRH	0	15	0	0
Pomahina	0	ILEAN	2	18	0.111111111	0
Pomahina	0	MYOSA	1	24	0.041666667	0
Pomahina	0	MYRLA	0	3	0	0
Pomahina	0	PIPAL	0	18	0	0
Pomahina	0	PITHO	1	25	0.04	0
Pomahina	0	PLEHA	0	12	0	0
Pomahina	0	PRISCb	0	5	0	0
Pomahina	0	PRISCg	3	9	0.333333333	0
Pomahina	0	STYTA	0	27	0	0
Pomahina	0	TETHA	2	25	0.08	0
Pomahina	0	VACRE	5	19	0.263157895	0
Kukui	1	CHETR	0	16	0	0
Kukui	1	CLEHA	0	6	0	0
Kukui	1	COPRH	3	15	0.2	0
Kukui	1	ILEAN	0	18	0	0
Kukui	1	MYOSA	0	24	0	0
Kukui	1	MYRLA	1	3	0.333333333	0
Kukui	1	PIPAL	3	18	0.166666667	0
Kukui	1	PITHO	1	25	0.04	0
Kukui	1	PLEHA	4	12	0.333333333	0
Kukui	1	PRISCb	1	4	0.25	0
Kukui	1	PRISCg	5	9	0.555555556	0
Kukui	1	STYTA	0	27	0	0
Kukui	1	TETHA	5	25	0.2	0
Kukui	1	VACRE	2	19	0.105263158	0
Olahou	1	CHETR	3	16	0.1875	0
Olahou	1	CLEHA	1	6	0.166666667	0
Olahou	1	COPRH	11	15	0.733333333	0
Olahou	1	ILEAN	4	18	0.222222222	0
Olahou	1	MYOSA	2	24	0.083333333	0
Olahou	1	MYRLA	1	3	0.333333333	0
Olahou	1	PIPAL	4	18	0.222222222	0
Olahou	1	PITHO	3	25	0.12	0
Olahou	1	PLEHA	2	12	0.166666667	0
Olahou	1	PRISCb	0	5	0	0
Olahou	1	PRISCg	5	9	0.555555556	0
Olahou	1	STYTA	3	27	0.111111111	0
Olahou	1	TETHA	6	25	0.24	0
Olahou	1	VACRE	6	19	0.315789474	0
Pono	1	CHETR	4	16	0.25	0
Pono	1	CLEHA	3	6	0.5	0
Pono	1	COPRH	4	15	0.266666667	0
Pono	1	ILEAN	2	18	0.111111111	0
Pono	1	MYOSA	2	24	0.083333333	0
Pono	1	MYRLA	1	3	0.333333333	0
Pono	1	PIPAL	2	18	0.111111111	0
Pono	1	PITHO	2	25	0.08	0
Pono	1	PLEHA	4	12	0.333333333	0
Pono	1	PRISCb	1	5	0.2	0
Pono	1	PRISCg	3	9	0.333333333	0
Pono	1	STYTA	3	27	0.111111111	0
Pono	1	TETHA	3	25	0.12	0
Pono	1	VACRE	3	19	0.157894737	0
Hauoli	0	CHETR	0	16	0	0
Hauoli	0	CLEHA	0	6	0	0
Hauoli	0	COPRH	1	15	0.066666667	0
Hauoli	0	ILEAN	3	18	0.166666667	0
Hauoli	0	MYOSA	2	24	0.083333333	0
Hauoli	0	MYRLA	2	3	0.666666667	0
Hauoli	0	PIPAL	1	18	0.055555556	0
Hauoli	0	PITHO	0	25	0	0
Hauoli	0	PLEHA	4	12	0.333333333	0
Hauoli	0	PRISCb	0	5	0	0
Hauoli	0	PRISCg	2	9	0.222222222	0
Hauoli	0	STYTA	3	27	0.111111111	0
Hauoli	0	TETHA	2	25	0.08	0
Hauoli	0	VACRE	2	19	0.105263158	0
Oluolu	0	CHETR	2	16	0.125	0
Oluolu	0	CLEHA	3	6	0.5	0
Oluolu	0	COPRH	3	15	0.2	0
Oluolu	0	ILEAN	2	18	0.111111111	0
Oluolu	0	MYOSA	1	24	0.041666667	0
Oluolu	0	MYRLA	0	3	0	0
Oluolu	0	PIPAL	0	18	0	0
Oluolu	0	PITHO	1	25	0.04	0
Oluolu	0	PLEHA	0	12	0	0
Oluolu	0	PRISCb	0	5	0	0
Oluolu	0	PRISCg	1	9	0.111111111	0
Oluolu	0	STYTA	1	27	0.037037037	0
Oluolu	0	TETHA	3	25	0.12	0
Oluolu	0	VACRE	1	19	0.052631579	0
Ha	1	CHETR	0	16	0	0
Ha	1	CLEHA	3	6	0.5	0
Ha	1	COPRH	2	15	0.133333333	0
Ha	1	ILEAN	1	18	0.055555556	0
Ha	1	MYOSA	3	24	0.125	0
Ha	1	MYRLA	1	3	0.333333333	0
Ha	1	PIPAL	4	18	0.222222222	0
Ha	1	PITHO	0	25	0	0
Ha	1	PLEHA	4	12	0.333333333	0
Ha	1	PRISCb	0	4	0	0
Ha	1	PRISCg	6	9	0.666666667	0
Ha	1	STYTA	0	27	0	0
Ha	1	TETHA	5	25	0.2	0
Ha	1	VACRE	4	19	0.210526316	0
Makalea	0	CHETR	0	15	0	1
Makalea	0	CLEHA	0	6	0	1
Makalea	0	COPRH	1	15	0.066666667	1
Makalea	0	ILEAN	0	13	0	1
Makalea	0	MYOSA	0	15	0	1
Makalea	0	MYRLA	0	3	0	1
Makalea	0	PIPAL	0	15	0	1
Makalea	0	PITHO	0	9	0	1
Makalea	0	PLEHA	0	9	0	1
Makalea	0	PRISCb	0	6	0	1
Makalea	0	PRISCg	2	6	0.333333333	1
Makalea	0	STYTA	0	15	0	1
Makalea	0	TETHA	0	18	0	1
Makalea	0	VACRE	0	15	0	1
Manapua	1	CHETR	0	15	0	1
Manapua	1	CLEHA	0	6	0	1
Manapua	1	COPRH	1	15	0.066666667	1
Manapua	1	ILEAN	0	13	0	1
Manapua	1	MYOSA	0	15	0	1
Manapua	1	MYRLA	0	3	0	1
Manapua	1	PIPAL	0	15	0	1
Manapua	1	PITHO	1	9	0.111111111	1
Manapua	1	PLEHA	0	9	0	1
Manapua	1	PRISCb	0	6	0	1
Manapua	1	PRISCg	0	6	0	1
Manapua	1	STYTA	0	15	0	1
Manapua	1	TETHA	0	18	0	1
Manapua	1	VACRE	0	15	0	1
Kaapeha	1	CHETR	0	15	0	1
Kaapeha	1	CLEHA	3	6	0.5	1
Kaapeha	1	COPRH	7	15	0.466666667	1
Kaapeha	1	ILEAN	1	13	0.076923077	1
Kaapeha	1	MYOSA	2	15	0.133333333	1
Kaapeha	1	MYRLA	0	3	0	1
Kaapeha	1	PIPAL	4	15	0.266666667	1
Kaapeha	1	PITHO	3	9	0.333333333	1
Kaapeha	1	PLEHA	6	9	0.666666667	1
Kaapeha	1	PRISCb	5	6	0.833333333	1
Kaapeha	1	PRISCg	4	6	0.666666667	1
Kaapeha	1	STYTA	1	15	0.066666667	1
Kaapeha	1	TETHA	0	18	0	1
Kaapeha	1	VACRE	8	15	0.533333333	1
Poliahu	0	CHETR	2	15	0.133333333	1
Poliahu	0	CLEHA	2	6	0.333333333	1
Poliahu	0	COPRH	11	15	0.733333333	1
Poliahu	0	ILEAN	0	13	0	1
Poliahu	0	MYOSA	0	15	0	1
Poliahu	0	MYRLA	1	3	0.333333333	1
Poliahu	0	PIPAL	3	15	0.2	1
Poliahu	0	PITHO	4	9	0.444444444	1
Poliahu	0	PLEHA	3	9	0.333333333	1
Poliahu	0	PRISCb	1	6	0.166666667	1
Poliahu	0	PRISCg	2	6	0.333333333	1
Poliahu	0	STYTA	0	15	0	1
Poliahu	0	TETHA	0	18	0	1
Poliahu	0	VACRE	5	15	0.333333333	1
Ao	1	CHETR	0	15	0	1
Ao	1	CLEHA	5	6	0.833333333	1
Ao	1	COPRH	4	15	0.266666667	1
Ao	1	ILEAN	0	12	0	1
Ao	1	MYOSA	0	15	0	1
Ao	1	MYRLA	0	3	0	1
Ao	1	PIPAL	1	15	0.066666667	1
Ao	1	PITHO	4	9	0.444444444	1
Ao	1	PLEHA	1	9	0.111111111	1
Ao	1	PRISCb	1	6	0.166666667	1
Ao	1	PRISCg	2	6	0.333333333	1
Ao	1	STYTA	0	16	0	1
Ao	1	TETHA	0	18	0	1
Ao	1	VACRE	0	15	0	1
Hakumele	0	CHETR	0	15	0	1
Hakumele	0	CLEHA	1	6	0.166666667	1
Hakumele	0	COPRH	8	15	0.533333333	1
Hakumele	0	ILEAN	0	13	0	1
Hakumele	0	MYOSA	0	15	0	1
Hakumele	0	MYRLA	1	3	0.333333333	1
Hakumele	0	PIPAL	0	15	0	1
Hakumele	0	PITHO	0	9	0	1
Hakumele	0	PLEHA	0	9	0	1
Hakumele	0	PRISCb	0	6	0	1
Hakumele	0	PRISCg	1	6	0.166666667	1
Hakumele	0	STYTA	0	15	0	1
Hakumele	0	TETHA	0	18	0	1
Hakumele	0	VACRE	0	15	0	1
Niolo	0	CHETR	0	15	0	1
Niolo	0	CLEHA	0	6	0	1
Niolo	0	COPRH	3	15	0.2	1
Niolo	0	ILEAN	0	13	0	1
Niolo	0	MYOSA	0	12	0	1
Niolo	0	MYRLA	0	3	0	1
Niolo	0	PIPAL	0	15	0	1
Niolo	0	PITHO	2	9	0.222222222	1
Niolo	0	PLEHA	0	6	0	1
Niolo	0	PRISCb	1	6	0.166666667	1
Niolo	0	PRISCg	0	3	0	1
Niolo	0	STYTA	0	15	0	1
Niolo	0	TETHA	0	15	0	1
Niolo	0	VACRE	0	15	0	1
Maiaokea	1	CHETR	0	15	0	1
Maiaokea	1	CLEHA	0	6	0	1
Maiaokea	1	COPRH	5	15	0.333333333	1
Maiaokea	1	ILEAN	0	13	0	1
Maiaokea	1	MYOSA	0	15	0	1
Maiaokea	1	MYRLA	0	3	0	1
Maiaokea	1	PIPAL	0	15	0	1
Maiaokea	1	PITHO	5	9	0.555555556	1
Maiaokea	1	PLEHA	0	9	0	1
Maiaokea	1	PRISCb	1	6	0.166666667	1
Maiaokea	1	PRISCg	0	6	0	1
Maiaokea	1	STYTA	0	15	0	1
Maiaokea	1	TETHA	0	18	0	1
Maiaokea	1	VACRE	0	15	0	1
Kilakila	0	CHETR	0	16	0	1
Kilakila	0	CLEHA	0	6	0	1
Kilakila	0	COPRH	3	15	0.2	1
Kilakila	0	ILEAN	0	14	0	1
Kilakila	0	MYOSA	0	15	0	1
Kilakila	0	MYRLA	0	3	0	1
Kilakila	0	PIPAL	0	15	0	1
Kilakila	0	PITHO	3	9	0.333333333	1
Kilakila	0	PLEHA	0	10	0	1
Kilakila	0	PRISCb	1	8	0.125	1
Kilakila	0	PRISCg	1	6	0.166666667	1
Kilakila	0	STYTA	0	17	0	1
Kilakila	0	TETHA	0	19	0	1
Kilakila	0	VACRE	0	17	0	1
Leomana	1	CHETR	0	15	0	1
Leomana	1	CLEHA	2	7	0.285714286	1
Leomana	1	COPRH	1	16	0.0625	1
Leomana	1	ILEAN	0	13	0	1
Leomana	1	MYOSA	0	16	0	1
Leomana	1	MYRLA	0	3	0	1
Leomana	1	PIPAL	0	15	0	1
Leomana	1	PITHO	2	10	0.2	1
Leomana	1	PLEHA	0	9	0	1
Leomana	1	PRISCb	2	6	0.333333333	1
Leomana	1	PRISCg	3	6	0.5	1
Leomana	1	STYTA	0	15	0	1
Leomana	1	TETHA	0	18	0	1
Leomana	1	VACRE	1	15	0.066666667	1
Ikaika	1	CHETR	0	15	0	0
Ikaika	1	CLEHA	1	6	0.166666667	0
Ikaika	1	COPRH	2	15	0.133333333	0
Ikaika	1	ILEAN	0	13	0	0
Ikaika	1	MYOSA	0	12	0	0
Ikaika	1	MYRLA	0	3	0	0
Ikaika	1	PIPAL	2	15	0.133333333	0
Ikaika	1	PITHO	5	10	0.5	0
Ikaika	1	PLEHA	3	6	0.5	0
Ikaika	1	PRISCb	1	6	0.166666667	0
Ikaika	1	PRISCg	0	3	0	0
Ikaika	1	STYTA	1	15	0.066666667	0
Ikaika	1	TETHA	1	15	0.066666667	0
Ikaika	1	VACRE	2	15	0.133333333	0
Imipono	1	CHETR	0	15	0	0
Imipono	1	CLEHA	1	6	0.166666667	0
Imipono	1	COPRH	5	15	0.333333333	0
Imipono	1	ILEAN	1	13	0.076923077	0
Imipono	1	MYOSA	0	12	0	0
Imipono	1	MYRLA	0	3	0	0
Imipono	1	PIPAL	1	15	0.066666667	0
Imipono	1	PITHO	5	10	0.5	0
Imipono	1	PLEHA	3	6	0.5	0
Imipono	1	PRISCb	2	6	0.333333333	0
Imipono	1	PRISCg	0	3	0	0
Imipono	1	STYTA	0	15	0	0
Imipono	1	TETHA	1	15	0.066666667	0
Imipono	1	VACRE	0	15	0	0
Iolana	0	CHETR	1	15	0.066666667	0
Iolana	0	CLEHA	1	6	0.166666667	0
Iolana	0	COPRH	3	15	0.2	0
Iolana	0	ILEAN	1	13	0.076923077	0
Iolana	0	MYOSA	2	15	0.133333333	0
Iolana	0	MYRLA	0	3	0	0
Iolana	0	PIPAL	2	15	0.133333333	0
Iolana	0	PITHO	2	10	0.2	0
Iolana	0	PLEHA	4	9	0.444444444	0
Iolana	0	PRISCb	1	6	0.166666667	0
Iolana	0	PRISCg	3	6	0.5	0
Iolana	0	STYTA	0	15	0	0
Iolana	0	TETHA	0	18	0	0
Iolana	0	VACRE	4	15	0.266666667	0
Ponoe	0	CHETR	0	15	0	0
Ponoe	0	CLEHA	0	6	0	0
Ponoe	0	COPRH	3	15	0.2	0
Ponoe	0	ILEAN	0	13	0	0
Ponoe	0	MYOSA	2	15	0.133333333	0
Ponoe	0	MYRLA	0	3	0	0
Ponoe	0	PIPAL	1	15	0.066666667	0
Ponoe	0	PITHO	3	10	0.3	0
Ponoe	0	PLEHA	2	9	0.222222222	0
Ponoe	0	PRISCb	0	6	0	0
Ponoe	0	PRISCg	3	6	0.5	0
Ponoe	0	STYTA	1	15	0.066666667	0
Ponoe	0	TETHA	0	18	0	0
Ponoe	0	VACRE	1	15	0.066666667	0
Nanea	1	CHETR	0	15	0	1
Nanea	1	CLEHA	2	6	0.333333333	1
Nanea	1	COPRH	8	15	0.533333333	1
Nanea	1	ILEAN	0	13	0	1
Nanea	1	MYOSA	2	12	0.166666667	1
Nanea	1	MYRLA	0	3	0	1
Nanea	1	PIPAL	5	15	0.333333333	1
Nanea	1	PITHO	9	9	1	1
Nanea	1	PLEHA	3	6	0.5	1
Nanea	1	PRISCb	3	6	0.5	1
Nanea	1	PRISCg	0	3	0	1
Nanea	1	STYTA	1	15	0.066666667	1
Nanea	1	TETHA	2	15	0.133333333	1
Nanea	1	VACRE	8	15	0.533333333	1
Lulu	0	CHETR	0	15	0	1
Lulu	0	CLEHA	1	6	0.166666667	1
Lulu	0	COPRH	7	15	0.466666667	1
Lulu	0	ILEAN	0	13	0	1
Lulu	0	MYOSA	0	15	0	1
Lulu	0	MYRLA	0	3	0	1
Lulu	0	PIPAL	0	15	0	1
Lulu	0	PITHO	2	9	0.222222222	1
Lulu	0	PLEHA	0	9	0	1
Lulu	0	PRISCb	1	6	0.166666667	1
Lulu	0	PRISCg	2	6	0.333333333	1
Lulu	0	STYTA	0	15	0	1
Lulu	0	TETHA	0	18	0	1
Lulu	0	VACRE	0	15	0	1
Lilinoe	0	CHETR	10	16	0.625	1
Lilinoe	0	CLEHA	0	6	0	1
Lilinoe	0	COPRH	3	15	0.2	1
Lilinoe	0	ILEAN	2	15	0.133333333	1
Lilinoe	0	MYOSA	1	15	0.066666667	1
Lilinoe	0	MYRLA	1	3	0.333333333	1
Lilinoe	0	PIPAL	1	15	0.066666667	1
Lilinoe	0	PITHO	5	9	0.555555556	1
Lilinoe	0	PLEHA	5	13	0.384615385	1
Lilinoe	0	PRISCb	3	12	0.25	1
Lilinoe	0	PRISCg	3	6	0.5	1
Lilinoe	0	STYTA	0	16	0	1
Lilinoe	0	TETHA	3	12	0.25	1
Lilinoe	0	VACRE	0	16	0	1
Lokahi	0	CHETR	5	16	0.3125	1
Lokahi	0	CLEHA	0	6	0	1
Lokahi	0	COPRH	1	15	0.066666667	1
Lokahi	0	ILEAN	1	15	0.066666667	1
Lokahi	0	MYOSA	0	15	0	1
Lokahi	0	MYRLA	0	3	0	1
Lokahi	0	PIPAL	0	15	0	1
Lokahi	0	PITHO	2	9	0.222222222	1
Lokahi	0	PLEHA	1	13	0.076923077	1
Lokahi	0	PRISCb	0	22	0	1
Lokahi	0	PRISCg	2	9	0.222222222	1
Lokahi	0	STYTA	0	16	0	1
Lokahi	0	TETHA	1	12	0.083333333	1
Lokahi	0	VACRE	0	16	0	1
Lokomaikai	0	CHETR	1	15	0.066666667	1
Lokomaikai	0	CLEHA	0	6	0	1
Lokomaikai	0	COPRH	0	15	0	1
Lokomaikai	0	ILEAN	2	13	0.153846154	1
Lokomaikai	0	MYOSA	0	15	0	1
Lokomaikai	0	MYRLA	0	3	0	1
Lokomaikai	0	PIPAL	0	15	0	1
Lokomaikai	0	PITHO	5	9	0.555555556	1
Lokomaikai	0	PLEHA	0	9	0	1
Lokomaikai	0	PRISCb	0	6	0	1
Lokomaikai	0	PRISCg	1	6	0.166666667	1
Lokomaikai	0	STYTA	2	15	0.133333333	1
Lokomaikai	0	TETHA	0	18	0	1
Lokomaikai	0	VACRE	0	15	0	1
Ipo	1	CHETR	0	15	0	1
Ipo	1	CLEHA	0	6	0	1
Ipo	1	COPRH	0	15	0	1
Ipo	1	ILEAN	0	13	0	1
Ipo	1	MYOSA	0	15	0	1
Ipo	1	MYRLA	0	3	0	1
Ipo	1	PIPAL	0	15	0	1
Ipo	1	PITHO	3	9	0.333333333	1
Ipo	1	PLEHA	2	9	0.222222222	1
Ipo	1	PRISCb	1	6	0.166666667	1
Ipo	1	PRISCg	1	6	0.166666667	1
Ipo	1	STYTA	0	15	0	1
Ipo	1	TETHA	0	18	0	1
Ipo	1	VACRE	0	15	0	1
Lolii	0	CHETR	0	15	0	1
Lolii	0	CLEHA	0	6	0	1
Lolii	0	COPRH	6	15	0.4	1
Lolii	0	ILEAN	0	13	0	1
Lolii	0	MYOSA	0	15	0	1
Lolii	0	MYRLA	0	3	0	1
Lolii	0	PIPAL	0	15	0	1
Lolii	0	PITHO	3	9	0.333333333	1
Lolii	0	PLEHA	7	9	0.777777778	1
Lolii	0	PRISCb	3	6	0.5	1
Lolii	0	PRISCg	4	6	0.666666667	1
Lolii	0	STYTA	1	15	0.066666667	1
Lolii	0	TETHA	0	18	0	1
Lolii	0	VACRE	0	15	0	1
Kalakupua	1	CHETR	0	15	0	1
Kalakupua	1	CLEHA	0	6	0	1
Kalakupua	1	COPRH	6	15	0.4	1
Kalakupua	1	ILEAN	0	13	0	1
Kalakupua	1	MYOSA	0	15	0	1
Kalakupua	1	MYRLA	0	3	0	1
Kalakupua	1	PIPAL	0	15	0	1
Kalakupua	1	PITHO	2	9	0.222222222	1
Kalakupua	1	PLEHA	1	9	0.111111111	1
Kalakupua	1	PRISCb	0	6	0	1
Kalakupua	1	PRISCg	6	6	1	1
Kalakupua	1	STYTA	0	15	0	1
Kalakupua	1	TETHA	1	18	0.055555556	1
Kalakupua	1	VACRE	0	15	0	1
Anuhea	0	CHETR	0	15	0	1
Anuhea	0	CLEHA	0	6	0	1
Anuhea	0	COPRH	3	15	0.2	1
Anuhea	0	ILEAN	0	13	0	1
Anuhea	0	MYOSA	0	15	0	1
Anuhea	0	MYRLA	0	3	0	1
Anuhea	0	PIPAL	0	15	0	1
Anuhea	0	PITHO	2	9	0.222222222	1
Anuhea	0	PLEHA	0	9	0	1
Anuhea	0	PRISCb	0	6	0	1
Anuhea	0	PRISCg	0	6	0	1
Anuhea	0	STYTA	0	15	0	1
Anuhea	0	TETHA	0	18	0	1
Anuhea	0	VACRE	0	15	0	1
Pikoi	1	CHETR	0	15	0	1
Pikoi	1	CLEHA	0	6	0	1
Pikoi	1	COPRH	5	15	0.333333333	1
Pikoi	1	ILEAN	0	13	0	1
Pikoi	1	MYOSA	0	15	0	1
Pikoi	1	MYRLA	0	3	0	1
Pikoi	1	PIPAL	0	15	0	1
Pikoi	1	PITHO	5	9	0.555555556	1
Pikoi	1	PLEHA	0	9	0	1
Pikoi	1	PRISCb	1	6	0.166666667	1
Pikoi	1	PRISCg	2	6	0.333333333	1
Pikoi	1	STYTA	0	15	0	1
Pikoi	1	TETHA	0	18	0	1
Pikoi	1	VACRE	0	15	0	1
Hanau	0	CHETR	0	15	0	1
Hanau	0	CLEHA	0	6	0	1
Hanau	0	COPRH	0	12	0	1
Hanau	0	ILEAN	0	10	0	1
Hanau	0	MYOSA	0	15	0	1
Hanau	0	MYRLA	0	3	0	1
Hanau	0	PIPAL	0	12	0	1
Hanau	0	PITHO	2	9	0.222222222	1
Hanau	0	PLEHA	0	9	0	1
Hanau	0	PRISCb	0	6	0	1
Hanau	0	PRISCg	4	6	0.666666667	1
Hanau	0	STYTA	0	15	0	1
Hanau	0	TETHA	0	15	0	1
Hanau	0	VACRE	0	12	0	1
Oli	1	CHETR	0	15	0	1
Oli	1	CLEHA	0	6	0	1
Oli	1	COPRH	0	12	0	1
Oli	1	ILEAN	0	10	0	1
Oli	1	MYOSA	0	15	0	1
Oli	1	MYRLA	0	3	0	1
Oli	1	PIPAL	0	12	0	1
Oli	1	PITHO	0	9	0	1
